filename,characters,words,tokens
ace_adam.txt,12827,1935,5310
afk_cdb.txt,10336,1685,3431
arz_ef.txt,7646,1349,4949
bal_brc.txt,13542,1816,5092
bra_rljb.txt,11279,1796,3303
bug_brc.txt,13324,1829,5131
bul_eu.txt,11373,1766,4178
cat_nv.txt,11067,1843,3413
chi_nf.txt,3006,188,3229
cze_msed.txt,9820,1501,3797
dns_me.txt,12013,1795,3892
dut_aw.txt,12773,1966,3835
dut_mb.txt,12773,1966,3835
eng_drb.txt,10638,1747,2177
eng_ks.txt,10638,1747,2177
eo_ac.txt,10013,1616,4100
far_pm.txt,9732,1584,4159
fil_alnl.txt,13391,2116,5087
fin_jf.txt,12225,1402,4916
fri_sn.txt,12126,2019,4734
frn_ezwa.txt,11896,1943,3505
frn_grd.txt,11896,1943,3505
frn_gyz.txt,11896,1943,3505
ger_robu.txt,11930,1642,4015
grc_pi.txt,12426,1910,7923
heb_ab.txt,7258,1278,5083
hin_brc.txt,11464,2145,8026
hun_dii.txt,12030,1539,4309
ind_rd.txt,12504,1725,4447
inz_mb.txt,12504,1725,4447
ita_dan.txt,12649,1946,3670
ita_mar.txt,12649,1946,3670
jav_vu.txt,14679,2106,5584
javs_vu.txt,14679,2106,5584
jpn_k.txt,4200,109,3916
kkn_lsj.txt,4716,1185,4782
lat_vu.txt,9984,1364,3240
lav_kb.txt,10513,1389,4647
lb_ll.txt,12353,2014,5219
ltn_ezwa.txt,9951,1345,3288
min_sd.txt,12069,1745,4572
mli_rh.txt,12583,1682,4580
nno_be.txt,10006,1703,3458
oc_am.txt,8741,1592,3514
pl_km.txt,11586,1580,4130
plain_drb.txt,5390,1030,1229
pmp_dm.txt,14063,2186,4997
por_as.txt,11389,1871,3409
por_sl.txt,11389,1871,3409
pql_jawo.txt,9820,1501,3797
rum_xip.txt,11904,1814,3833
rus_sd.txt,11799,1605,4275
slo_msed.txt,10081,1499,4008
spa_mr.txt,11965,1927,3409
spn_krs.txt,11965,1927,3409
sun_brc.txt,13244,1968,5294
swe_adam.txt,11654,1691,3854
swe_lr.txt,11654,1691,3854
tam_dm.txt,13720,1262,11377
tam_prm.txt,13720,1262,11377
ukr_r90.txt,10686,1578,4313
urd_ahk.txt,10138,2239,7700
wal_ezwa.txt,12159,2583,6133
yid_ss.txt,11749,1775,9020
