filename,characters,words,tokens
ace_adam.txt,12827,1935,4832
afk_cdb.txt,10336,1685,3358
arz_ef.txt,7646,1349,2806
bal_brc.txt,13542,1816,4711
bra_rljb.txt,11279,1796,2978
bug_brc.txt,13324,1829,4805
bul_eu.txt,11373,1766,4729
cat_nv.txt,11067,1843,3491
chi_nf.txt,3006,188,1829
cze_msed.txt,9820,1501,4574
dns_me.txt,12013,1795,3890
dut_aw.txt,12773,1966,3782
dut_mb.txt,12773,1966,3782
eng_drb.txt,10638,1747,2047
eng_ks.txt,10638,1747,2047
eo_ac.txt,10013,1616,3809
far_pm.txt,9732,1584,4116
fil_alnl.txt,13391,2116,4745
fin_jf.txt,12225,1402,4746
fri_sn.txt,12126,2019,4505
frn_ezwa.txt,11896,1943,3124
frn_grd.txt,11896,1943,3124
frn_gyz.txt,11896,1943,3124
ger_robu.txt,11930,1642,3305
grc_pi.txt,12426,1910,10575
heb_ab.txt,7258,1278,2810
hin_brc.txt,11464,2145,10620
hun_dii.txt,12030,1539,5027
ind_rd.txt,12504,1725,3822
inz_mb.txt,12504,1725,3822
ita_dan.txt,12649,1946,3534
ita_mar.txt,12649,1946,3534
jav_vu.txt,14679,2106,5217
javs_vu.txt,14679,2106,5217
jpn_k.txt,4200,109,2923
kkn_lsj.txt,4716,1185,2945
lat_vu.txt,9984,1364,2940
lav_kb.txt,10513,1389,4918
lb_ll.txt,12353,2014,4627
ltn_ezwa.txt,9951,1345,3035
min_sd.txt,12069,1745,4193
mli_rh.txt,12583,1682,3907
nno_be.txt,10006,1703,3343
oc_am.txt,8741,1592,3292
pl_km.txt,11586,1580,4013
plain_drb.txt,5390,1030,1158
pmp_dm.txt,14063,2186,4604
por_as.txt,11389,1871,3162
por_sl.txt,11389,1871,3162
pql_jawo.txt,9820,1501,4574
rum_xip.txt,11904,1814,4109
rus_sd.txt,11799,1605,3518
slo_msed.txt,10081,1499,4586
spa_mr.txt,11965,1927,2980
spn_krs.txt,11965,1927,2980
sun_brc.txt,13244,1968,4886
swe_adam.txt,11654,1691,3910
swe_lr.txt,11654,1691,3910
tam_dm.txt,13720,1262,14998
tam_prm.txt,13720,1262,14998
ukr_r90.txt,10686,1578,5157
urd_ahk.txt,10138,2239,6515
wal_ezwa.txt,12159,2583,5506
yid_ss.txt,11749,1775,8843
