filename,characters,words,tokens
ace_adam.txt,12827,1935,4238
afk_cdb.txt,10336,1685,2755
arz_ef.txt,7646,1349,2425
bal_brc.txt,13542,1816,4039
bra_rljb.txt,11279,1796,2397
bug_brc.txt,13324,1829,4243
bul_eu.txt,11373,1766,3467
cat_nv.txt,11067,1843,2937
chi_nf.txt,3006,188,2377
cze_msed.txt,9820,1501,3403
dns_me.txt,12013,1795,3246
dut_aw.txt,12773,1966,2796
dut_mb.txt,12773,1966,2796
eng_drb.txt,10638,1747,2025
eng_ks.txt,10638,1747,2025
eo_ac.txt,10013,1616,3177
far_pm.txt,9732,1584,3223
fil_alnl.txt,13391,2116,3760
fin_jf.txt,12225,1402,3636
fri_sn.txt,12126,2019,3778
frn_ezwa.txt,11896,1943,2643
frn_grd.txt,11896,1943,2643
frn_gyz.txt,11896,1943,2643
ger_robu.txt,11930,1642,2565
grc_pi.txt,12426,1910,4424
heb_ab.txt,7258,1278,2867
hin_brc.txt,11464,2145,6380
hun_dii.txt,12030,1539,4030
ind_rd.txt,12504,1725,2965
inz_mb.txt,12504,1725,2965
ita_dan.txt,12649,1946,3045
ita_mar.txt,12649,1946,3045
jav_vu.txt,14679,2106,4249
javs_vu.txt,14679,2106,4249
jpn_k.txt,4200,109,3569
kkn_lsj.txt,4716,1185,2760
lat_vu.txt,9984,1364,2654
lav_kb.txt,10513,1389,3676
lb_ll.txt,12353,2014,3898
ltn_ezwa.txt,9951,1345,2716
min_sd.txt,12069,1745,3610
mli_rh.txt,12583,1682,3109
nno_be.txt,10006,1703,2844
oc_am.txt,8741,1592,2980
pl_km.txt,11586,1580,3672
plain_drb.txt,5390,1030,1157
pmp_dm.txt,14063,2186,4050
por_as.txt,11389,1871,2510
por_sl.txt,11389,1871,2510
pql_jawo.txt,9820,1501,3403
rum_xip.txt,11904,1814,3478
rus_sd.txt,11799,1605,2823
slo_msed.txt,10081,1499,3513
spa_mr.txt,11965,1927,2485
spn_krs.txt,11965,1927,2485
sun_brc.txt,13244,1968,3653
swe_adam.txt,11654,1691,3209
swe_lr.txt,11654,1691,3209
tam_dm.txt,13720,1262,8115
tam_prm.txt,13720,1262,8115
ukr_r90.txt,10686,1578,3481
urd_ahk.txt,10138,2239,3243
wal_ezwa.txt,12159,2583,5082
yid_ss.txt,11749,1775,6492
